동별,항목,단위,2019 년,2020 년,2021 년,2022 년,2023 년
상계5동,면수,면,4205.0,2788.0,2728.0,4947.0,5003.0
상계8동,면수,면,7302.0,4305.0,4379.0,5101.0,5131.0
상계9동,면수,면,4876.0,7019.0,7052.0,5906.0,5928.0
상계10동,면수,면,3957.0,7144.0,7150.0,6856.0,6925.0
상계3.4동,면수,면,8396.0,9871.0,10032.0,7769.0,7714.0
상계6.7동,면수,면,12590.0,12191.0,12468.0,11812.0,11992.0
중계2.3동,면수,면,9473.0,9275.0,9386.0,9352.0,8649.0
공릉1동,면수,면,13818.0,13970.0,14002.0,14082.0,14098.0
은평구,면수,면,146696.0,164010.0,166662.0,176603.0,192333.0
녹번동,면수,면,10256.0,14933.0,15097.0,12606.0,14051.0
불광1동,면수,면,11037.0,11688.0,11733.0,12620.0,13082.0
갈현1동,면수,면,6387.0,7222.0,7253.0,5483.0,6624.0
갈현2동,면수,면,8997.0,9831.0,9873.0,9867.0,10143.0
구산동,면수,면,9961.0,11489.0,11744.0,10833.0,11060.0
대조동,면수,면,9195.0,9701.0,9793.0,9260.0,9749.0
응암1동,면수,면,7791.0,8504.0,8520.0,15599.0,15989.0
응암2동,면수,면,5688.0,8058.0,8060.0,9913.0,10052.0
신사1동,면수,면,8162.0,8981.0,8968.0,8841.0,8961.0
신사2동,면수,면,4619.0,5225.0,5289.0,5669.0,5727.0
증산동,면수,면,4833.0,5317.0,5287.0,8679.0,8767.0
수색동,면수,면,3790.0,3810.0,3863.0,6420.0,6909.0
진관동,면수,면,27837.0,29585.0,29710.0,31613.0,40559.0
불광2동,면수,면,7243.0,8921.0,9415.0,7884.0,8412.0
응암3동,면수,면,7045.0,6692.0,7969.0,6041.0,6623.0
역촌동,면수,면,13855.0,14053.0,14088.0,15275.0,15625.0
천연동,면수,면,5079.0,6018.0,6000.0,5189.0,5903.0
홍제1동,면수,면,6442.0,7961.0,7986.0,8056.0,8135.0
홍제3동,면수,면,4038.0,4219.0,4316.0,4303.0,5798.0
홍제2동,면수,면,4467.0,4500.0,4523.0,5968.0,5594.0
홍은1동,면수,면,4297.0,4558.0,4649.0,6636.0,6847.0
홍은2동,면수,면,8592.0,9968.0,10124.0,10590.0,10976.0
남가좌1동,면수,면,6719.0,7704.0,7743.0,5014.0,7657.0
남가좌2동,면수,면,10808.0,9077.0,9055.0,16266.0,13368.0
북가좌1동,면수,면,7885.0,7814.0,7814.0,12845.0,10524.0
북가좌2동,면수,면,6997.0,9907.0,9940.0,6621.0,10630.0
충현동,면수,면,9161.0,10760.0,10924.0,11582.0,10987.0
북아현동,면수,면,5901.0,4189.0,8117.0,5803.0,5157.0
신촌동,면수,면,19326.0,19120.0,19554.0,19409.0,18976.0
연희동,면수,면,12547.0,14922.0,15099.0,14660.0,15933.0
용강동,면수,면,10811.0,7518.0,7080.0,7173.0,7163.0
대흥동,면수,면,5159.0,5721.0,5608.0,7158.0,6973.0
염리동,면수,면,4581.0,31942.0,30949.0,31057.0,31288.0
신수동,면수,면,13185.0,12152.0,12180.0,12720.0,12736.0
서교동,면수,면,21888.0,6732.0,6758.0,8126.0,8206.0
합정동,면수,면,10392.0,13481.0,13719.0,16770.0,16523.0
망원1동,면수,면,6982.0,7893.0,7944.0,9530.0,9511.0
망원2동,면수,면,5684.0,14210.0,14212.0,14095.0,14115.0
연남동,면수,면,6961.0,6945.0,6938.0,6893.0,6926.0
성산1동,면수,면,6864.0,4589.0,4854.0,5631.0,5642.0
성산2동,면수,면,13430.0,10321.0,11061.0,13274.0,13368.0
상암동,면수,면,30488.0,10310.0,10454.0,10849.0,10858.0
도화동,면수,면,9738.0,9752.0,9755.0,9631.0,9144.0
서강동,면수,면,12091.0,21874.0,22502.0,24674.0,24191.0
공덕동,면수,면,13777.0,13616.0,13677.0,14702.0,14469.0
아현동,면수,면,14172.0,5199.0,5170.0,7140.0,7010.0
양천구,면수,면,162797.0,170748.0,168382.0,166327.0,178275.0
목1동,면수,면,23864.0,25004.0,22985.0,22653.0,21795.0
목2동,면수,면,10525.0,11132.0,11094.0,10032.0,11482.0
목3동,면수,면,7986.0,8176.0,8174.0,8357.0,8507.0
목4동,면수,면,8336.0,10252.0,10266.0,8332.0,9043.0
신월1동,면수,면,7089.0,7004.0,6932.0,7001.0,8073.0
