년분기,행정동,업종명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20191,이화동,가방,7,0,0,0
20191,이화동,안경,1,0,0,0
20191,이화동,시계및귀금속,3,0,0,0
20191,이화동,의약품,13,0,1,1
20191,이화동,의료기기,4,0,0,0
20191,이화동,서적,12,1,0,0
20191,이화동,문구,4,1,1,2
20191,이화동,화장품,29,0,0,3
20191,이화동,운동/경기용품,3,0,0,0
20191,이화동,자전거 및 기타운송장비,1,0,0,0
20191,이화동,완구,2,0,0,0
20191,이화동,섬유제품,2,0,0,0
20191,이화동,화초,6,1,1,0
20191,이화동,가구,2,0,0,0
20191,이화동,가전제품,4,0,0,0
20191,이화동,철물점,2,0,0,0
20191,이화동,인테리어,1,0,1,0
20191,이화동,조명용품,9,0,0,0
20191,이화동,전자상거래업,34,4,0,0
20191,혜화동,한식음식점,199,12,10,30
20191,혜화동,중식음식점,22,0,2,1
20191,혜화동,일식음식점,33,5,2,12
20191,혜화동,양식음식점,42,3,3,4
20191,혜화동,제과점,9,1,0,5
20191,혜화동,패스트푸드점,23,0,0,9
20191,혜화동,치킨전문점,5,0,1,18
