보라매동,26511,26382,26688,26496,26166,25856,25529,25278,24978,24951,24974,24918,24927,24908,24740,24660,24667,24589,24392,24272,24110,24024
보문동,16946,16865,16839,16653,16617,16520,16389,16123,15885,15810,15736,15766,15753,16666,16701,16712,16719,16703,16680,16575,16577,16561
부암동,10523,10477,10525,10551,10597,10421,10347,10333,10069,9951,9852,9782,9702,9683,9590,9536,9460,9377,9443,9389,9400,9346
북가좌1동,19292,19292,19188,19160,18990,18809,18693,18557,18455,18328,18256,18121,18007,17956,17899,17804,17815,17762,17709,17678,17610,17587
북가좌2동,34206,34134,33955,33810,33607,33432,33190,32947,32647,32298,32020,31893,31671,31489,31227,31244,31228,31167,31111,31026,30950,30773
북아현동,17674,17667,17607,17525,17456,17389,17097,16956,16674,16505,16401,16236,16123,16058,15977,15875,15833,15873,15796,15756,15816,15817
불광1동,41316,41244,41048,40917,40613,40422,40144,40022,39439,39200,38996,38777,38695,38524,38265,38265,38105,37995,37826,37694,37797,37783
불광2동,29752,29726,29576,29552,29290,29069,28909,28740,28442,28267,28046,27798,27645,27511,27269,27280,27331,27230,27073,26972,26963,26904
사근동,13658,13596,13630,13543,13625,13511,13423,13512,13352,13512,13335,13505,13627,13900,13837,14082,14020,14080,14048,14141,14235,14133
사당1동,24233,24273,24139,24026,24012,23931,23784,23632,23419,23402,23462,23321,23268,23250,23109,23009,23030,22989,22954,23008,22981,22948
사당2동,28584,28575,28471,28290,28189,28050,27900,27658,27413,27042,28070,28147,28534,28879,28817,28786,28689,28662,28517,28478,28427,28426
사당3동,26702,26557,26276,26034,25849,25580,25430,25244,25056,24930,24726,24548,24532,24402,24237,24189,24118,24141,24038,23940,23955,23971
사당4동,15117,15055,14902,14921,14856,14819,14723,14599,14441,14442,14377,14301,14350,14316,14277,14185,14130,14044,14073,14007,13978,13949
사당5동,13164,13094,12957,12886,13416,14662,14881,14811,14715,14677,14591,14558,14543,14473,14456,14434,14395,14355,14293,14269,14240,14194
사직동,9782,9724,9700,9815,9841,9787,9848,9806,9813,9636,9645,9636,9630,9572,9379,9355,9371,9362,9326,9273,9258,9249
삼각산동,33312,33207,33100,32900,32668,32546,32331,32118,31623,31510,31481,31470,31175,31015,30908,30939,30887,30866,30817,30716,30629,30487
삼선동,26860,26691,26599,26013,25048,24564,24354,24144,23697,23552,23533,23413,23428,23294,23123,23044,23101,23026,22875,22824,22708,22636
삼성1동,15109,15058,14928,14920,14959,14924,14030,13600,13389,13327,13265,13136,13059,12994,12847,12739,12662,12597,12584,12384,12329,12311
삼성2동,30508,30308,30362,30674,30674,30534,30478,30368,30044,29762,29817,30692,31130,31192,31067,31062,30928,30724,30776,30888,30776,30840
삼성동,25881,25696,25454,25226,25041,24841,24608,23935,23232,22996,22656,22041,21393,21105,20814,20642,20520,20363,20265,20130,19986,19885
삼양동,26276,26031,25776,25537,25334,25176,24933,24742,24382,24238,23980,23802,23611,23568,23293,23090,23011,22887,22751,22622,22496,22456
삼전동,33019,32901,32823,32613,32400,32220,32017,31839,31428,31270,30921,30695,30441,30274,30019,29912,29726,29623,29574,29451,29444,29297
삼청동,3045,3030,3013,2997,2993,2973,2962,2909,2803,2780,2764,2739,2741,2692,2659,2642,2616,2576,2495,2457,2450,2449
상계10동,16867,16783,16736,16619,16503,16402,16358,17631,18655,18738,18784,18731,18617,18523,18477,18477,18374,18316,18274,18246,18163,18121
상계1동,40751,40580,40359,40121,39942,39762,39460,39204,38882,38713,38466,38275,38030,38024,37944,37857,37724,37422,37267,36995,36911,36829
상계2동,21569,21458,21358,21220,21062,20997,20866,20692,20462,20351,20208,20143,20015,19935,19765,19629,19623,19566,19405,19266,19223,19175
상계3·4동,26367,26206,25946,25818,27366,27455,27295,27184,26952,26662,26479,26268,26033,25831,25509,25324,25187,25119,27469,27606,27496,27444
상계5동,26136,25922,25704,25483,25181,25028,24949,24797,24504,24423,24223,24077,23971,23805,23776,23737,23568,23436,23222,23157,23077,22937
상계6·7동,35195,35043,34834,34648,34341,34151,33882,33642,33256,33152,32998,32774,32563,32415,32149,32044,32036,31934,31717,31565,31493,31374
상계8동,24302,24202,24086,23953,23618,23506,23266,22963,22790,22814,22777,22598,22491,22478,22418,22344,22225,22056,21919,21892,21663,21721
상계9동,22216,22118,22002,21919,21707,21618,21441,21221,20949,20810,20746,20529,20346,20289,20142,20071,19969,19895,19800,19751,19634,19560
상도1동,48459,48432,48372,48153,48023,47529,47137,46840,46152,45967,45757,45485,45781,45892,46066,46166,46469,46414,46534,46451,46693,46523
상도2동,29351,29422,29396,29270,29013,28860,28468,28162,28825,29367,28931,28362,28195,28139,28000,27982,28000,27953,27875,27822,27777,27764
상도3동,26152,26159,26111,26041,25905,25798,25659,25416,25137,25000,24943,24846,24726,24697,24614,24456,24535,24462,24374,24297,24281,24249
상도4동,30316,30257,30107,29893,29773,29723,29557,29306,29138,29084,29059,28914,28917,28796,28629,28564,28510,28401,28194,28051,28156,28748
상봉1동,25499,25583,25629,25499,25334,25299,25043,24912,24784,24681,24428,24190,24017,23932,23773,23714,23555,23537,23455,23353,23200,23039
상봉2동,19337,19494,19728,19844,20044,20036,20104,20214,20423,20548,20670,20647,20558,20567,20524,20612,20615,20613,20673,20760,20941,20996
상암동,33428,33266,32976,32882,32589,32407,32252,31997,31509,31359,31390,31473,31356,31169,31009,30837,30679,30650,30487,30414,30403,30367
상일동,11127,11113,10943,10773,27636,32624,33151,33345,37989,38784,39036,38929,38832,39022,39038,39178,39435,39407,39412,39440,39322,39379
서강동,25955,26312,26240,26163,26021,25863,25621,25386,25508,25596,25574,25600,25657,25630,25519,25576,25535,25495,25371,25405,25454,25369
서교동,26239,26240,26104,25997,25876,26273,26712,26981,26698,26718,26612,26549,26912,27125,26733,26674,26653,26522,26369,26359,26303,26100
서림동,24883,24721,24485,24339,24252,24440,24532,24410,24019,23922,23741,23689,23849,24041,24094,24361,24549,24644,24598,24594,24611,24759
서빙고동,14282,14205,14122,14102,14164,14143,14029,14000,13919,13914,13913,13912,13879,13858,13582,13458,13424,13430,13357,13141,13239,13306
서원동,24096,24147,24095,24068,24106,24049,23877,23565,23324,23200,23317,23278,23435,23592,23583,23511,23668,23704,23770,23690,23934,23905
서초1동,21566,21546,21708,21579,21502,21403,21264,21187,20991,20951,20806,20711,20815,20788,20727,20622,20496,20506,20526,20352,20412,20470
서초2동,18614,18574,18675,18837,18975,18953,19159,21731,22316,22463,25919,26595,26878,26900,26856,26932,27047,27253,26451,25140,25102,25186
서초3동,30876,30903,31067,30951,31176,31158,31710,32307,32454,32702,32804,32769,32700,32482,32397,32379,32418,32382,32381,32384,32405,32434
서초4동,31899,31867,31886,31988,32024,31975,31870,31718,31476,31361,31112,31089,30936,30821,30584,30521,30550,30560,30554,30558,30530,30495
석관동,35365,36448,36558,36507,36723,36735,36558,36483,36152,36112,36018,35829,35773,35644,35460,35315,35250,35108,34940,34695,34698,34627
